"elapsed_seconds","adapter","counter","bytes"
"6.042674","other-adapter-1","dedicated usage","0"
"6.0427628","other-adapter-2","dedicated usage","270336"
"6.0427743","primary-benchmark-adapter","dedicated usage","5566160896"
"6.042795","other-adapter-1","shared usage","0"
"6.0428049","other-adapter-2","shared usage","0"
"6.0428146","primary-benchmark-adapter","shared usage","20086784"
"6.042835","other-adapter-1","local usage","0"
"6.042845","other-adapter-2","local usage","270336"
"6.0428545","primary-benchmark-adapter","local usage","5297659904"
"6.0428766","other-adapter-1","non local usage","0"
"6.0428865","other-adapter-2","non local usage","0"
"6.0428961","primary-benchmark-adapter","non local usage","20086784"
"12.0831633","other-adapter-1","dedicated usage","0"
"12.0832352","other-adapter-2","dedicated usage","270336"
"12.0832468","primary-benchmark-adapter","dedicated usage","13879468032"
"12.0832673","other-adapter-1","shared usage","0"
"12.0832773","other-adapter-2","shared usage","0"
"12.0832871","primary-benchmark-adapter","shared usage","20086784"
"12.083307","other-adapter-1","local usage","0"
"12.0833169","other-adapter-2","local usage","270336"
"12.0833266","primary-benchmark-adapter","local usage","13611032576"
"12.083349","other-adapter-1","non local usage","0"
"12.0833656","other-adapter-2","non local usage","0"
"12.0833758","primary-benchmark-adapter","non local usage","20086784"
"18.1054408","other-adapter-1","dedicated usage","0"
"18.105538","other-adapter-2","dedicated usage","270336"
"18.1055498","primary-benchmark-adapter","dedicated usage","15908462592"
"18.1055714","other-adapter-1","shared usage","0"
"18.1055817","other-adapter-2","shared usage","0"
"18.1055918","primary-benchmark-adapter","shared usage","24281088"
"18.1056127","other-adapter-1","local usage","0"
"18.1056228","other-adapter-2","local usage","270336"
"18.1056325","primary-benchmark-adapter","local usage","15908462592"
"18.1056554","other-adapter-1","non local usage","0"
"18.1056657","other-adapter-2","non local usage","0"
"18.1056754","primary-benchmark-adapter","non local usage","24281088"
"24.1289583","other-adapter-1","dedicated usage","0"
"24.1290739","other-adapter-2","dedicated usage","270336"
"24.1290859","primary-benchmark-adapter","dedicated usage","15908593664"
"24.1291067","other-adapter-1","shared usage","0"
"24.1291169","other-adapter-2","shared usage","0"
"24.1291267","primary-benchmark-adapter","shared usage","24281088"
"24.1291471","other-adapter-1","local usage","0"
"24.1291573","other-adapter-2","local usage","270336"
"24.129167","primary-benchmark-adapter","local usage","15908593664"
"24.1291882","other-adapter-1","non local usage","0"
"24.1291984","other-adapter-2","non local usage","0"
"24.1292082","primary-benchmark-adapter","non local usage","24281088"
"30.162809","other-adapter-1","dedicated usage","0"
"30.1628996","other-adapter-2","dedicated usage","270336"
"30.1629107","primary-benchmark-adapter","dedicated usage","16889274368"
"30.1629318","other-adapter-1","shared usage","0"
"30.1629437","other-adapter-2","shared usage","0"
"30.1629535","primary-benchmark-adapter","shared usage","70483968"
"30.1629735","other-adapter-1","local usage","0"
"30.1629835","other-adapter-2","local usage","270336"
"30.1629931","primary-benchmark-adapter","local usage","16889274368"
"30.1630138","other-adapter-1","non local usage","0"
"30.163024","other-adapter-2","non local usage","0"
"30.1630339","primary-benchmark-adapter","non local usage","70483968"
"36.193445","other-adapter-1","dedicated usage","0"
"36.1935294","other-adapter-2","dedicated usage","270336"
"36.1935405","primary-benchmark-adapter","dedicated usage","17569406976"
"36.1935598","other-adapter-1","shared usage","0"
"36.1935698","other-adapter-2","shared usage","0"
"36.1935802","primary-benchmark-adapter","shared usage","66248704"
