"elapsed_seconds","adapter","counter","bytes"
"6.0414611","other-adapter-1","dedicated usage","0"
"6.0415369","other-adapter-2","dedicated usage","270336"
"6.0415481","primary-benchmark-adapter","dedicated usage","5294907392"
"6.041569","other-adapter-1","shared usage","0"
"6.0415791","other-adapter-2","shared usage","0"
"6.041589","primary-benchmark-adapter","shared usage","20086784"
"6.0416091","other-adapter-1","local usage","0"
"6.0416194","other-adapter-2","local usage","270336"
"6.0416288","primary-benchmark-adapter","local usage","5026471936"
"6.0416496","other-adapter-1","non local usage","0"
"6.0416612","other-adapter-2","non local usage","0"
"6.0416709","primary-benchmark-adapter","non local usage","20086784"
"12.0635141","other-adapter-1","dedicated usage","0"
"12.0635848","other-adapter-2","dedicated usage","270336"
"12.0635958","primary-benchmark-adapter","dedicated usage","13597073408"
"12.0636166","other-adapter-1","shared usage","0"
"12.0636268","other-adapter-2","shared usage","0"
"12.0636366","primary-benchmark-adapter","shared usage","20086784"
"12.0636562","other-adapter-1","local usage","0"
"12.0636661","other-adapter-2","local usage","270336"
"12.0636756","primary-benchmark-adapter","local usage","13328703488"
"12.0636974","other-adapter-1","non local usage","0"
"12.0637071","other-adapter-2","non local usage","0"
"12.0637166","primary-benchmark-adapter","non local usage","20086784"
"18.0970358","other-adapter-1","dedicated usage","0"
"18.0971322","other-adapter-2","dedicated usage","270336"
"18.0971438","primary-benchmark-adapter","dedicated usage","21905465344"
"18.0971783","other-adapter-1","shared usage","0"
"18.0971884","other-adapter-2","shared usage","0"
"18.0971981","primary-benchmark-adapter","shared usage","20086784"
"18.0972186","other-adapter-1","local usage","0"
"18.0972289","other-adapter-2","local usage","270336"
"18.0972541","primary-benchmark-adapter","local usage","21637029888"
"18.0972763","other-adapter-1","non local usage","0"
"18.0973036","other-adapter-2","non local usage","0"
"18.0973134","primary-benchmark-adapter","non local usage","20086784"
"24.1390342","other-adapter-1","dedicated usage","0"
"24.1391325","other-adapter-2","dedicated usage","270336"
"24.1391438","primary-benchmark-adapter","dedicated usage","22297436160"
"24.1391648","other-adapter-1","shared usage","0"
"24.1391752","other-adapter-2","shared usage","0"
"24.139185","primary-benchmark-adapter","shared usage","24281088"
"24.1392057","other-adapter-1","local usage","0"
"24.1392159","other-adapter-2","local usage","270336"
"24.1392257","primary-benchmark-adapter","local usage","22297436160"
"24.1392478","other-adapter-1","non local usage","0"
"24.139258","other-adapter-2","non local usage","0"
"24.1392676","primary-benchmark-adapter","non local usage","24281088"
"30.1754397","other-adapter-1","dedicated usage","0"
"30.1755444","other-adapter-2","dedicated usage","270336"
"30.1755558","primary-benchmark-adapter","dedicated usage","22297567232"
"30.1755774","other-adapter-1","shared usage","0"
"30.1755878","other-adapter-2","shared usage","0"
"30.1755984","primary-benchmark-adapter","shared usage","24281088"
"30.1756189","other-adapter-1","local usage","0"
"30.1756288","other-adapter-2","local usage","270336"
"30.1756391","primary-benchmark-adapter","local usage","22297567232"
"30.1756603","other-adapter-1","non local usage","0"
"30.1756699","other-adapter-2","non local usage","0"
"30.1756801","primary-benchmark-adapter","non local usage","24281088"
"36.2098498","other-adapter-1","dedicated usage","0"
"36.2099515","other-adapter-2","dedicated usage","270336"
"36.2099628","primary-benchmark-adapter","dedicated usage","22297567232"
"36.2099869","other-adapter-1","shared usage","0"
"36.2099971","other-adapter-2","shared usage","0"
"36.2100077","primary-benchmark-adapter","shared usage","24281088"
"36.2100283","other-adapter-1","local usage","0"
"36.2100385","other-adapter-2","local usage","270336"
"36.2100482","primary-benchmark-adapter","local usage","22297567232"
"36.2100717","other-adapter-1","non local usage","0"
"36.210082","other-adapter-2","non local usage","0"
"36.2100919","primary-benchmark-adapter","non local usage","24281088"
