model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-gemma2-9b,development-extraction,ok,2422,150,0,2.70934433299999,6.544097916000055,6.575338040999895,89,83,83,2,0,38.59273783098453,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,development-summary,ok,2356,348,0,2.56345745800013,11.803294542000003,11.832091708000007,215,185,185,10,0,37.43887052430171,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H1-extraction,ok,3504,253,0,4.49003170900005,11.813612167000201,11.843830542000205,152,137,137,5,0,34.26896678521191,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H1-summary,ok,3394,323,0,4.296772666999914,13.7065067919998,13.738964874999965,234,234,234,0,0,34.11093554219649,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H2-extraction,ok,3681,238,0,4.618037374999858,11.586116791999984,11.616695374999836,138,126,126,4,0,33.8652269706097,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H2-summary,ok,3580,339,0,4.400284709000061,14.330642209000189,14.36055216700015,271,271,271,0,0,33.9366050161716,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H3-extraction,ok,3308,240,0,3.742179042000089,10.52794829200002,10.557633916999976,142,130,130,4,0,35.06994105461916,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H3-summary,ok,3203,468,0,3.7180692500000987,17.313517708000063,17.343789042000026,303,267,267,12,0,34.26821474855532,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H4-extraction,ok,4037,338,0,5.01998254099999,15.124282874999835,15.154980332999912,235,223,223,4,0,33.25249129736913,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,H4-summary,ok,3939,432,0,4.84547758299982,17.680961249999882,17.712206917000003,299,299,299,0,0,33.4984706898874,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma2-9b,full-source-control,context_excluded,13573,,,,,,,,,,,,Not submitted: complete prompt plus output and margin exceeds supported actual context. No source truncation.
evo-gemma2-9b,merged-summary-synthesis,ok,1755,1421,0,2.1605065000001105,41.21111575000009,41.24019654200015,1074,1074,1074,0,0,36.336294348959036,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
