"elapsed_seconds","adapter","counter","bytes"
"6.0162077","other-adapter-1","dedicated usage","0"
"6.0163001","other-adapter-2","dedicated usage","270336"
"6.016313","primary-benchmark-adapter","dedicated usage","4467122176"
"6.0163358","other-adapter-1","shared usage","0"
"6.0163475","other-adapter-2","shared usage","0"
"6.0163587","primary-benchmark-adapter","shared usage","17989632"
"6.0163803","other-adapter-1","local usage","0"
"6.0163918","other-adapter-2","local usage","270336"
"6.0164028","primary-benchmark-adapter","local usage","4467122176"
"6.0164258","other-adapter-1","non local usage","0"
"6.0164371","other-adapter-2","non local usage","0"
"6.0164479","primary-benchmark-adapter","non local usage","17989632"
"12.0379455","other-adapter-1","dedicated usage","0"
"12.0380161","other-adapter-2","dedicated usage","270336"
"12.0380293","primary-benchmark-adapter","dedicated usage","13040738304"
"12.038048","other-adapter-1","shared usage","0"
"12.0380581","other-adapter-2","shared usage","0"
"12.038068","primary-benchmark-adapter","shared usage","17989632"
"12.038087","other-adapter-1","local usage","0"
"12.0380969","other-adapter-2","local usage","270336"
"12.0381064","primary-benchmark-adapter","local usage","12772302848"
"12.0381253","other-adapter-1","non local usage","0"
"12.038135","other-adapter-2","non local usage","0"
"12.0381443","primary-benchmark-adapter","non local usage","17989632"
"18.0696133","other-adapter-1","dedicated usage","0"
"18.0696921","other-adapter-2","dedicated usage","270336"
"18.0697034","primary-benchmark-adapter","dedicated usage","21073027072"
"18.0697244","other-adapter-1","shared usage","0"
"18.0697347","other-adapter-2","shared usage","0"
"18.0697446","primary-benchmark-adapter","shared usage","17989632"
"18.0697638","other-adapter-1","local usage","0"
"18.0697736","other-adapter-2","local usage","270336"
"18.069783","primary-benchmark-adapter","local usage","20804591616"
"18.0698041","other-adapter-1","non local usage","0"
"18.069814","other-adapter-2","non local usage","0"
"18.0698235","primary-benchmark-adapter","non local usage","17989632"
"24.1041398","other-adapter-1","dedicated usage","0"
"24.1042207","other-adapter-2","dedicated usage","270336"
"24.1042318","primary-benchmark-adapter","dedicated usage","29099024384"
"24.1042539","other-adapter-1","shared usage","0"
"24.1042668","other-adapter-2","shared usage","0"
"24.104278","primary-benchmark-adapter","shared usage","17989632"
"24.1042987","other-adapter-1","local usage","0"
"24.1043103","other-adapter-2","local usage","270336"
"24.1043218","primary-benchmark-adapter","local usage","28830588928"
"24.1043489","other-adapter-1","non local usage","0"
"24.1043616","other-adapter-2","non local usage","0"
"24.1043718","primary-benchmark-adapter","non local usage","17989632"
"30.1494643","other-adapter-1","dedicated usage","0"
"30.1495704","other-adapter-2","dedicated usage","270336"
"30.1495852","primary-benchmark-adapter","dedicated usage","30583087104"
"30.1496135","other-adapter-1","shared usage","0"
"30.1496237","other-adapter-2","shared usage","0"
"30.1496337","primary-benchmark-adapter","shared usage","22183936"
"30.1496535","other-adapter-1","local usage","0"
"30.149663","other-adapter-2","local usage","270336"
"30.149674","primary-benchmark-adapter","local usage","30583087104"
"30.1496983","other-adapter-1","non local usage","0"
"30.1497085","other-adapter-2","non local usage","0"
"30.1497178","primary-benchmark-adapter","non local usage","22183936"
"36.1824828","other-adapter-1","dedicated usage","0"
"36.1825841","other-adapter-2","dedicated usage","270336"
"36.1825985","primary-benchmark-adapter","dedicated usage","30583087104"
"36.1826252","other-adapter-1","shared usage","0"
"36.1826373","other-adapter-2","shared usage","0"
"36.1826502","primary-benchmark-adapter","shared usage","22183936"
"36.1826719","other-adapter-1","local usage","0"
"36.1826816","other-adapter-2","local usage","270336"
"36.1826918","primary-benchmark-adapter","local usage","30583087104"
"36.1827206","other-adapter-1","non local usage","0"
"36.1827324","other-adapter-2","non local usage","0"
"36.1827449","primary-benchmark-adapter","non local usage","22183936"
"42.233486","other-adapter-1","dedicated usage","0"
"42.2335846","other-adapter-2","dedicated usage","270336"
"42.2335974","primary-benchmark-adapter","dedicated usage","30583480320"
"42.2336293","other-adapter-1","shared usage","0"
"42.2336426","other-adapter-2","shared usage","0"
"42.2336554","primary-benchmark-adapter","shared usage","30572544"
"42.2336805","other-adapter-1","local usage","0"
"42.2336902","other-adapter-2","local usage","270336"
"42.2337006","primary-benchmark-adapter","local usage","30583480320"
"42.2337241","other-adapter-1","non local usage","0"
"42.2337334","other-adapter-2","non local usage","0"
"42.2337436","primary-benchmark-adapter","non local usage","30572544"
"48.2512528","other-adapter-1","dedicated usage","0"
"48.2513426","other-adapter-2","dedicated usage","270336"
"48.2513546","primary-benchmark-adapter","dedicated usage","30583480320"
"48.2513799","other-adapter-1","shared usage","0"
"48.2513931","other-adapter-2","shared usage","0"
"48.2514032","primary-benchmark-adapter","shared usage","30572544"
"48.2514225","other-adapter-1","local usage","0"
"48.2514321","other-adapter-2","local usage","270336"
"48.251442","primary-benchmark-adapter","local usage","30583480320"
"48.2514638","other-adapter-1","non local usage","0"
"48.2514734","other-adapter-2","non local usage","0"
"48.2514832","primary-benchmark-adapter","non local usage","30572544"
"54.288477","other-adapter-1","dedicated usage","0"
"54.2885782","other-adapter-2","dedicated usage","270336"
"54.2885901","primary-benchmark-adapter","dedicated usage","30583480320"
"54.2886114","other-adapter-1","shared usage","0"
"54.2886223","other-adapter-2","shared usage","0"
"54.288636","primary-benchmark-adapter","shared usage","30572544"
"54.2886678","other-adapter-1","local usage","0"
"54.2886797","other-adapter-2","local usage","270336"
"54.2886917","primary-benchmark-adapter","local usage","30583480320"
"54.2887173","other-adapter-1","non local usage","0"
"54.2887269","other-adapter-2","non local usage","0"
"54.2887371","primary-benchmark-adapter","non local usage","30572544"
"60.3141912","other-adapter-1","dedicated usage","0"
"60.3142886","other-adapter-2","dedicated usage","270336"
"60.3143017","primary-benchmark-adapter","dedicated usage","30583480320"
"60.3143267","other-adapter-1","shared usage","0"
"60.314338","other-adapter-2","shared usage","0"
"60.3146065","primary-benchmark-adapter","shared usage","30572544"
"60.3146424","other-adapter-1","local usage","0"
"60.3146531","other-adapter-2","local usage","270336"
"60.3150265","primary-benchmark-adapter","local usage","30583480320"
"60.3150642","other-adapter-1","non local usage","0"
"60.315077","other-adapter-2","non local usage","0"
"60.3150887","primary-benchmark-adapter","non local usage","30572544"
"66.335345","other-adapter-1","dedicated usage","0"
"66.3354477","other-adapter-2","dedicated usage","270336"
"66.3354628","primary-benchmark-adapter","dedicated usage","31471427584"
"66.3354919","other-adapter-1","shared usage","0"
"66.3355049","other-adapter-2","shared usage","0"
"66.3355187","primary-benchmark-adapter","shared usage","89292800"
"66.3355467","other-adapter-1","local usage","0"
"66.3355592","other-adapter-2","local usage","270336"
"66.3355729","primary-benchmark-adapter","local usage","31401172992"
"66.335602","other-adapter-1","non local usage","0"
"66.3356154","other-adapter-2","non local usage","0"
"66.3356279","primary-benchmark-adapter","non local usage","85098496"
"72.3734751","other-adapter-1","dedicated usage","0"
"72.3735694","other-adapter-2","dedicated usage","270336"
"72.373585","primary-benchmark-adapter","dedicated usage","32417636352"
"72.3736126","other-adapter-1","shared usage","0"
"72.3736259","other-adapter-2","shared usage","0"
"72.373638","primary-benchmark-adapter","shared usage","85131264"
"72.3736632","other-adapter-1","local usage","0"
"72.3736766","other-adapter-2","local usage","270336"
"72.3736909","primary-benchmark-adapter","local usage","32413114368"
"72.3737175","other-adapter-1","non local usage","0"
"72.3737298","other-adapter-2","non local usage","0"
"72.3737425","primary-benchmark-adapter","non local usage","85131264"
"78.4010605","other-adapter-1","dedicated usage","0"
"78.4011353","other-adapter-2","dedicated usage","270336"
"78.4011461","primary-benchmark-adapter","dedicated usage","32417636352"
"78.4011678","other-adapter-1","shared usage","0"
"78.401178","other-adapter-2","shared usage","0"
"78.4011874","primary-benchmark-adapter","shared usage","85131264"
"78.4012055","other-adapter-1","local usage","0"
"78.4012152","other-adapter-2","local usage","270336"
"78.4012264","primary-benchmark-adapter","local usage","32413114368"
"78.4012451","other-adapter-1","non local usage","0"
"78.4012547","other-adapter-2","non local usage","0"
"78.4012647","primary-benchmark-adapter","non local usage","85131264"
"84.4228605","other-adapter-1","dedicated usage","0"
"84.4229314","other-adapter-2","dedicated usage","270336"
"84.4229425","primary-benchmark-adapter","dedicated usage","32417636352"
"84.4229957","other-adapter-1","shared usage","0"
"84.4230059","other-adapter-2","shared usage","0"
"84.4230153","primary-benchmark-adapter","shared usage","85131264"
"84.4230338","other-adapter-1","local usage","0"
