model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
gemma4-26b,development-extraction,ok,70,1.9670862499999995,1.9670862499999995,3.007630624999999,1.0405443749999996,3.023532874999999,67.27247936927247,23.151724454128853
gemma4-26b,development-summary,ok,299,1.661382541,1.661382541,7.007401665999998,5.346019124999998,7.027012832999999,55.92946695640564,42.55008594773688
gemma4-26b,H1-extraction,ok,289,2.9948421250000017,2.9948421250000017,8.340455334000001,5.345613209,8.361368625,54.063021154136784,34.56371952504366
gemma4-26b,H1-summary,ok,337,2.9032460410000027,2.9032460410000027,9.239200416000003,6.335954375,9.259737958000002,53.18851431912339,36.39411844358371
gemma4-26b,H2-extraction,ok,348,3.4587319580000013,3.4587319580000013,10.246335332999998,6.787603374999996,10.267658624999996,51.26993738051175,33.89282919405593
gemma4-26b,H2-summary,ok,294,3.3633905829999975,3.3633905829999975,9.112371707999998,5.748981125,9.132054582999999,51.139496479039146,32.194288517208705
gemma4-26b,H3-extraction,ok,243,3.2248932909999937,3.2248932909999937,7.9713409159999955,4.746447625000002,7.995284750000003,51.19618274519566,30.392913773333703
gemma4-26b,H3-summary,ok,350,3.2408968329999936,3.2408968329999936,10.124767332999994,6.8838705000000004,10.144948999999997,50.843489865185575,34.49992700801158
gemma4-26b,H4-extraction,ok,231,4.047240416000008,4.047240416000008,8.61677300000001,4.569532584000001,8.637658208000005,50.55221639273028,26.743359651120834
gemma4-26b,H4-summary,ok,367,3.735461000000001,3.735461000000001,11.035402542,7.299941541999999,11.055501875000004,50.27437519718155,33.19614108427799
gemma4-26b,merged-summary-synthesis,ok,1279,1.455783917000005,1.455783917000005,26.554023500000014,25.09823958300001,26.574062874999996,50.95974941869291,48.129637007942854
gemma4-26b,full-source-control,ok,778,15.856866167000021,15.856866167000021,33.47085262500002,17.613986458,33.495747542000004,44.16944465440102,23.2268289884999
