model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
qwen38-27b,development-extraction,ok,133,6.952260792000004,6.952260792000004,15.554952291999996,8.602691499999992,15.631135958000002,15.460277751445595,8.508658638589266
qwen38-27b,development-summary,ok,473,7.281891749999986,7.281891749999986,40.11842508299999,32.836533333000006,40.188380957999996,14.404687462078869,11.769570923852893
qwen38-27b,H1-extraction,ok,287,11.083490917000006,11.083490917000006,31.102751958,20.019261040999993,31.17311616699999,14.336193499461153,9.206650963685805
qwen38-27b,H1-summary,ok,418,10.446083041999998,10.446083041999998,39.811282207999994,29.365199165999996,39.88389245799999,14.234536521855922,10.48042139919462
qwen38-27b,H2-extraction,ok,258,12.304621458000014,12.304621458000014,30.354562541000007,18.049941082999993,30.42507999999998,14.293675464846396,8.479846232121663
qwen38-27b,H2-summary,ok,479,10.698839582999994,10.698839582999994,44.39427670799995,33.695437124999955,44.46464929199999,14.215574596140534,10.77260267711548
qwen38-27b,H3-extraction,ok,271,10.873992291999969,10.873992291999969,29.86952624999998,18.99553395800001,29.94042695899998,14.266511307299565,9.051307129691363
qwen38-27b,H3-summary,ok,471,9.837376542000015,9.837376542000015,42.95261108400001,33.115234541999996,43.02385820899997,14.223060972213,10.947414286091934
qwen38-27b,H4-extraction,ok,241,12.623366291999957,12.623366291999957,29.73878929199998,17.11542300000002,29.81612929199997,14.080867297290853,8.082873455497902
qwen38-27b,H4-summary,ok,490,13.432440124999971,13.432440124999971,48.0159625,34.58352237500003,48.086870084,14.168597249487071,10.18989173435595
qwen38-27b,merged-summary-synthesis,ok,1838,6.293577749999997,6.293577749999997,135.242183959,128.948606209,135.31299004199997,14.253740726913856,13.583322631696342
qwen38-27b,full-source-control,ok,762,47.706668165999986,47.706668165999986,104.014934208,56.308266042000014,104.09318037500009,13.532648997424793,7.3203642856800295
