model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
qwen38-27b,development-extraction,ok,2452,134,0,6.952260792000004,15.554952291999996,15.631135958000002,83,79,77,2,0,15.333497812958997,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,development-summary,ok,2388,474,0,7.281891749999986,40.11842508299999,40.188380957999996,302,272,257,15,0,14.373730921873062,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H1-extraction,ok,3595,288,0,11.083490917000006,31.102751958,31.17311616699999,185,177,173,4,0,14.28579463886482,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H1-summary,ok,3489,419,0,10.446083041999998,39.811282207999994,39.88389245799999,266,240,227,13,0,14.199433558098816,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H2-extraction,ok,3733,259,0,12.304621458000014,30.354562541000007,30.42507999999998,156,144,144,4,0,14.238199223201377,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H2-summary,ok,3630,480,0,10.698839582999994,44.39427670799995,44.46464929199999,325,301,289,12,0,14.185725440526003,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H3-extraction,ok,3379,272,0,10.873992291999969,29.86952624999998,29.94042695899998,174,162,162,4,0,14.213252174089996,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H3-summary,ok,3275,472,0,9.837376542000015,42.95261108400001,43.02385820899997,303,279,267,12,0,14.19224391760652,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H4-extraction,ok,4181,242,0,12.623366291999957,29.73878929199998,29.81612929199997,161,153,149,4,0,14.017901732996547,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,H4-summary,ok,4086,491,0,13.432440124999971,48.0159625,48.086870084,297,275,264,11,0,14.139341595498887,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,full-source-control,ok,13916,763,0,47.706668165999986,104.014934208,104.09318037500009,529,529,529,0,0,13.50557394710271,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen38-27b,merged-summary-synthesis,ok,2066,1839,0,6.293577749999997,135.242183959,135.31299004199997,1182,1086,1038,48,0,14.245526532641943,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
