model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-gemma26,development-extraction,ok,2451,130,0,1.7034188340000007,3.873247749999999,3.8949697499999996,78,74,72,2,0,58.97851947456997,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,development-summary,ok,2387,291,0,1.61152725,6.497442249999999,6.514893666999999,199,182,174,8,0,59.1465680509819,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H1-extraction,ok,3552,282,0,2.4500407909999993,7.260579083,7.278396875000002,177,167,162,5,0,58.202238487089765,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H1-summary,ok,3442,376,0,2.378323250000001,8.781770292000001,8.799398292000003,244,220,208,12,0,58.40399178045582,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H2-extraction,ok,3744,299,0,2.6127477920000004,7.7251609579999965,7.742979124999998,189,181,177,4,0,58.09136719397253,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H2-summary,ok,3642,299,0,2.5258474170000014,7.6329950419999975,7.650726417000001,197,175,165,10,0,58.15083467912837,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H3-extraction,ok,3369,244,0,2.378705542000006,6.521956459000002,6.539818917000005,156,148,144,4,0,58.40253914051651,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H3-summary,ok,3262,331,0,2.290364375000003,7.9223654579999945,7.940027375000007,215,193,183,10,0,58.41243498076461,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H4-extraction,ok,4096,229,0,2.963764041999994,6.868910874999997,6.888807041999996,146,138,134,4,0,58.12446129713913,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,H4-summary,ok,3998,315,0,2.8742220419999995,8.269138333,8.28690433300001,214,196,187,9,0,58.0157218911056,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,full-source-control,ok,13773,659,0,12.176242000000002,24.860152333000002,24.881714416999984,439,439,418,0,21,51.79513026593336,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma26,merged-summary-synthesis,ok,1526,1273,0,1.0693070420000055,22.57970075,22.597185333,843,758,718,40,0,59.08665410858491,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
