model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
evo-gemma12-coding,development-extraction,ok,139,3.828054915999928,3.828054915999928,9.156092541000021,5.328037625000093,9.19649037499994,26.088404358818238,15.114461531745029
evo-gemma12-coding,development-summary,ok,272,3.7534463340000457,3.7534463340000457,14.775540958999954,11.022094624999909,14.81742133399996,24.67770503285824,18.356770309005828
evo-gemma12-coding,H1-extraction,ok,271,6.29797074999999,6.29797074999999,17.222046041,10.924075291000008,17.263883833000023,24.80759174401408,15.697510630949786
evo-gemma12-coding,H1-summary,ok,280,6.21976508299997,6.21976508299997,17.553367125000022,11.333602042000052,17.595923749999997,24.705296600531433,15.912776389474866
evo-gemma12-coding,H2-extraction,ok,295,6.900908791999996,6.900908791999996,18.830641833999948,11.929733041999953,18.873034374999975,24.728130877817605,15.630766846414987
evo-gemma12-coding,H2-summary,ok,242,6.445090209,6.445090209,16.194481916999962,9.749391707999962,16.235997666999992,24.822061442194844,14.905151193256827
evo-gemma12-coding,H3-extraction,ok,259,5.717553541999905,5.717553541999905,16.246787749999953,10.529234208000048,16.291352374999974,24.598180160453964,15.898004907035865
evo-gemma12-coding,H3-summary,ok,248,5.513180250000005,5.513180250000005,15.539513040999964,10.026332790999959,15.58147299999996,24.734866193810642,15.916338590067873
evo-gemma12-coding,H4-extraction,ok,266,7.653033290999929,7.653033290999929,18.377218749999997,10.724185459000068,18.41928304099997,24.803748593956342,14.441387290042915
evo-gemma12-coding,H4-summary,ok,241,7.136776749999967,7.136776749999967,16.881152250000014,9.744375500000046,16.92338374999997,24.73221603580433,14.240650898198796
evo-gemma12-coding,merged-summary-synthesis,ok,967,1.9887751659999822,1.9887751659999822,40.92013637499997,38.93136120899999,40.961976916000026,24.838586937886287,23.60725904374706
evo-gemma12-coding,full-source-control,ok,571,29.604441249999923,29.604441249999923,54.629777833999924,25.025336584,54.67538066700001,22.816875932252994,10.44345723860015
