elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.0015707500000008423,0.0,5005312000,30286921728,29110517760,1097678848,2217459712,13303808,99890511872,52281344,0,0,8994816,True
1.0248215409999997,0.0,3786063872,26180354048,29183410176,157958144,8412397568,13303808,99891527680,52281344,0,0,6365347840,True
2.066128708000001,0.0,3672244224,26264371200,29182689280,185122816,8414461952,13303808,99892396032,52281344,0,0,6386876416,True
3.084410374999999,0.0,3646472192,26271399936,29182689280,210632704,8414740480,13303808,99892559872,52281344,0,0,6389071872,True
4.103695582999999,0.0,3617603584,26272120832,29182689280,234061824,8414740480,13303808,99892625408,52281344,0,0,6390743040,True
5.120351125000001,0.0,3598336000,26270564352,29182640128,258981888,8415641600,13303808,99892690944,52281344,0,0,6390562816,True
6.143964791,0.0,3550822400,26285162496,29182509056,284573696,8415608832,13303808,99892756480,52281344,0,0,6392561664,True
7.170344208000001,0.0,3524952064,26282835968,29182492672,309411840,8415805440,13303808,99892822016,52281344,0,0,6392643584,True
8.18987,0.0,3494658048,26281934848,29182459904,334872576,8415805440,13303808,99892887552,52281344,0,0,6392692736,True
9.218266375,0.0,3190538240,26272956416,29181689856,360202240,8702394368,13303808,99893002240,52281344,0,0,6392774656,True
10.23699725,0.0,3199631360,26233241600,29181689856,385744896,8712896512,13303808,99893067776,52281344,0,0,6392872960,True
11.258162750000002,0.0,3176955904,26259193856,29181689856,410533888,8694349824,13303808,99893133312,52281344,0,0,6392954880,True
